Fecha,Precio Cierre,Inflacion Acumulada,Precio Ajustado,PIB US,Retorno
2018-01-24,31.5,0.442,45.423,2.8,4.166667458939598
2018-01-25,33.29999924,0.442,48.018598904079994,2.8,5.714283301587296
2018-01-26,33.84000015,0.442,48.7972802163,2.8,1.6216243913644106
2018-01-29,34.20000076,0.442,49.31640109592,2.8,1.0638315851189504
2018-01-30,32.40000153,0.442,46.72080220626,2.8,-5.263155526315854
2018-01-31,29.700000760000002,0.442,42.82740109592,2.8,-8.333335316357918
2018-02-01,31.5,0.464,46.116,2.8,6.0606033465973495
2018-02-02,30.23999977,0.464,44.27135966328,2.8,-4.000000730158728
2018-02-05,28.799999239999998,0.464,42.16319888736,2.8,-4.761906550768477
2018-02-06,29.34000015,0.464,42.9537602196,2.8,1.8750032092014854
2018-02-07,29.700000760000002,0.464,43.48080111264,2.8,1.2269959378306279
2018-02-08,28.799999239999998,0.464,42.16319888736,2.8,-3.0303080706049235
2018-02-09,28.799999239999998,0.464,42.16319888736,2.8,0
2018-02-12,27.89999962,0.464,40.84559944368,2.8,-3.124998763020798
2018-02-13,28.799999239999998,0.464,42.16319888736,2.8,3.225805133541429
2018-02-14,28.799999239999998,0.464,42.16319888736,2.8,0
2018-02-15,29.700000760000002,0.464,43.48080111264,2.8,3.1250053602432097
2018-02-16,29.700000760000002,0.464,43.48080111264,2.8,0
2018-02-20,29.700000760000002,0.464,43.48080111264,2.8,0
2018-02-21,27.89999962,0.464,40.84559944368,2.8,-6.060609743903598
2018-02-22,27.89999962,0.464,40.84559944368,2.8,0
2018-02-23,28.799999239999998,0.464,42.16319888736,2.8,3.225805133541429
2018-02-26,8.100000381,0.464,11.858400557783998,2.8,-71.87499793489577
2018-02-27,11.52000046,0.464,16.86528067344,2.8,42.2222212115227
2018-02-28,14.57999992,0.464,21.34511988288,2.8,26.562494251844846
2018-03-01,12.96000004,0.488,19.28448005952,2.8,-11.111110349032154
2018-03-02,12.42000008,0.488,18.48096011904,2.8,-4.166666345164619
2018-03-05,12.23999977,0.488,18.21311965776,2.8,-1.4492778489579423
2018-03-06,12.23999977,0.488,18.21311965776,2.8,0
2018-03-07,12.23999977,0.488,18.21311965776,2.8,0
2018-03-08,11.15999985,0.488,16.6060797768,2.8,-8.823528923971544
2018-03-09,11.69999981,0.488,17.40959971728,2.8,4.838709384032827
2018-03-12,11.34000015,0.488,16.8739202232,2.8,-3.0769202209072493
2018-03-13,10.97999954,0.488,16.33823931552,2.8,-3.1746085117997125
2018-03-14,12.77999973,0.488,19.01663959824,2.8,16.393445040162547
2018-03-15,11.88000011,0.488,17.67744016368,2.8,-7.042250696510781
2018-03-16,11.69999981,0.488,17.40959971728,2.8,-1.5151540263748338
2018-03-19,11.69999981,0.488,17.40959971728,2.8,0
2018-03-20,11.15999985,0.488,16.6060797768,2.8,-4.615384348454954
2018-03-21,11.15999985,0.488,16.6060797768,2.8,0
2018-03-22,10.97999954,0.488,16.33823931552,2.8,-1.6129060252630782
2018-03-23,9.899999619,0.488,14.731199433072002,2.8,-9.836065266356094
2018-03-26,9.180000305,0.488,13.65984045384,2.8,-7.2727206233239015
2018-03-27,9.359999657,0.488,13.927679489616,2.8,1.9607771897563069
2018-03-28,8.819999695,0.488,13.12415954616,2.8,-5.769230574663039
2018-03-29,9,0.488,13.392,2.8,2.0408198551530683
2018-04-02,9.359999657,0.513,14.161679481040998,2.8,3.999996188888883
2018-04-03,8.819999695,0.513,13.344659538535,2.8,-5.769230574663039
2018-04-04,9,0.513,13.617,2.8,2.0408198551530683
2018-04-05,9.180000305,0.513,13.889340461464998,2.8,2.0000033888888895
2018-04-06,9.180000305,0.513,13.889340461464998,2.8,0
2018-04-09,9.180000305,0.513,13.889340461464998,2.8,0
2018-04-10,9,0.513,13.617,2.8,-1.9607875710195861
2018-04-11,9.180000305,0.513,13.889340461464998,2.8,2.0000033888888895
2018-04-12,9.899999619,0.513,14.978699423547,2.8,7.843129521551805
2018-04-13,10.26000023,0.513,15.523380347989995,2.8,3.636369948025939
2018-04-16,9.720000267,0.513,14.706360403971,2.8,-5.263157416128047
2018-04-17,9.720000267,0.513,14.706360403971,2.8,0
2018-04-18,10.97999954,0.513,16.61273930402,2.8,12.96295512745792
2018-04-19,10.26000023,0.513,15.523380347989995,2.8,-6.5573710397441465
2018-04-20,10.07999992,0.513,15.25103987896,2.8,-1.7543889470263565
2018-04-23,10.26000023,0.513,15.523380347989995,2.8,1.7857173752834583
2018-04-24,9.359999657,0.513,14.161679481040998,2.8,-8.7719352127149
2018-04-25,9.359999657,0.513,14.161679481040998,2.8,0
2018-04-26,9.539999962,0.513,14.434019942505998,2.8,1.9230802520957837
2018-04-27,9.359999657,0.513,14.161679481040998,2.8,-1.8867956574107174
2018-04-30,9.359999657,0.513,14.161679481040998,2.8,0
2018-05-01,9.359999657,0.541,14.423759471436998,2.8,0
2018-05-02,9.180000305,0.541,14.146380470005,2.8,-1.9230700704714716
2018-05-03,8.819999695,0.541,13.591619529995,2.8,-3.9215751420391722
2018-05-04,9.180000305,0.541,14.146380470005,2.8,4.081639710306137
2018-05-07,9.180000305,0.541,14.146380470005,2.8,0
2018-05-08,9.539999962,0.541,14.701139941442,2.8,3.9215647607758926
2018-05-09,9.539999962,0.541,14.701139941442,2.8,0
2018-05-10,10.97999954,0.541,16.92017929114,2.8,15.094335259285613
2018-05-11,9.899999619,0.541,15.255899412879,2.8,-9.836065266356094
2018-05-14,10.80000019,0.541,16.64280029279,2.8,9.090915208448349
2018-05-15,10.07999992,0.541,15.53327987672,2.8,-6.666669049382673
